HIV/AIDS and tuberculosis,,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Pueblo County, Colorado",8101,"1.16 (0.85, 1.54)","1.58 (1.27, 1.93)","5.86 (5.14, 6.65)","10.22 (9.07, 11.45)","2.74 (2.33, 3.18)","2.39 (1.99, 2.85)","1.40 (1.13, 1.73)","1.17 (0.89, 1.47)","0.24 (-31.11, 46.59)"
"Rio Blanco County, Colorado",8103,"0.52 (0.33, 0.80)","0.62 (0.41, 0.92)","2.43 (1.75, 3.32)","4.13 (3.14, 5.41)","1.04 (0.70, 1.50)","0.78 (0.50, 1.18)","0.45 (0.27, 0.73)","0.36 (0.20, 0.59)","-31.48 (-59.31, 11.94)"
"Rio Grande County, Colorado",8105,"0.98 (0.62, 1.47)","1.19 (0.82, 1.65)","4.62 (3.52, 5.87)","7.83 (6.23, 9.70)","2.18 (1.56, 2.93)","1.72 (1.18, 2.45)","1.04 (0.65, 1.59)","0.82 (0.48, 1.26)","-16.74 (-50.73, 38.91)"
"Routt County, Colorado",8107,"0.53 (0.36, 0.74)","0.60 (0.42, 0.81)","2.29 (1.75, 2.93)","3.88 (3.07, 4.80)","0.90 (0.65, 1.20)","0.65 (0.46, 0.88)","0.36 (0.25, 0.53)","0.27 (0.17, 0.40)","-48.64 (-66.84, -22.01)"
"Saguache County, Colorado",8109,"0.85 (0.58, 1.17)","1.03 (0.75, 1.39)","3.87 (3.03, 4.77)","6.38 (4.94, 7.93)","1.76 (1.29, 2.31)","1.37 (0.96, 1.87)","0.80 (0.54, 1.15)","0.63 (0.41, 0.93)","-25.07 (-49.90, 13.05)"
"San Juan County, Colorado",8111,"0.71 (0.45, 1.04)","0.75 (0.50, 1.07)","2.76 (2.06, 3.66)","4.34 (3.33, 5.68)","1.02 (0.72, 1.39)","0.82 (0.55, 1.20)","0.50 (0.31, 0.76)","0.39 (0.23, 0.61)","-45.11 (-67.76, -9.26)"
"San Miguel County, Colorado",8113,"0.58 (0.37, 0.87)","0.62 (0.43, 0.86)","2.50 (1.79, 3.28)","4.16 (3.12, 5.32)","1.06 (0.72, 1.45)","0.79 (0.51, 1.12)","0.44 (0.27, 0.68)","0.35 (0.20, 0.54)","-39.64 (-64.54, -2.20)"
"Sedgwick County, Colorado",8115,"0.64 (0.40, 0.96)","0.79 (0.52, 1.13)","3.16 (2.28, 4.24)","5.70 (4.23, 7.53)","1.54 (1.01, 2.26)","1.17 (0.71, 1.79)","0.67 (0.36, 1.09)","0.56 (0.29, 0.96)","-12.61 (-49.57, 51.01)"
"Summit County, Colorado",8117,"0.54 (0.38, 0.77)","0.80 (0.58, 1.06)","3.10 (2.45, 3.88)","4.83 (3.90, 5.90)","1.38 (1.05, 1.79)","1.09 (0.81, 1.46)","0.68 (0.47, 0.94)","0.52 (0.34, 0.74)","-3.32 (-36.91, 47.71)"
"Teller County, Colorado",8119,"0.65 (0.44, 0.94)","0.82 (0.60, 1.13)","3.26 (2.57, 4.10)","5.31 (4.26, 6.50)","1.39 (1.05, 1.87)","1.06 (0.76, 1.48)","0.63 (0.41, 0.94)","0.50 (0.32, 0.76)","-23.19 (-51.37, 22.49)"
"Washington County, Colorado",8121,"0.60 (0.39, 0.89)","0.74 (0.52, 1.00)","3.19 (2.41, 4.09)","5.25 (4.15, 6.67)","1.31 (0.93, 1.84)","0.98 (0.68, 1.42)","0.58 (0.37, 0.88)","0.45 (0.28, 0.72)","-23.90 (-51.00, 20.20)"
"Weld County, Colorado",8123,"1.56 (1.31, 1.85)","2.46 (2.18, 2.72)","11.20 (10.78, 11.64)","13.83 (13.35, 14.31)","3.80 (3.53, 4.08)","3.35 (3.11, 3.61)","2.09 (1.89, 2.32)","1.61 (1.41, 1.81)","3.25 (-16.94, 29.11)"
"Yuma County, Colorado",8125,"0.64 (0.44, 0.93)","0.81 (0.57, 1.11)","3.45 (2.66, 4.34)","5.93 (4.66, 7.39)","1.60 (1.15, 2.17)","1.26 (0.84, 1.80)","0.75 (0.48, 1.10)","0.62 (0.37, 0.98)","-3.33 (-39.02, 49.37)"
Connecticut,9,"1.58 (1.42, 1.75)","2.82 (2.64, 2.99)","10.10 (9.78, 10.43)","16.38 (16.00, 16.78)","5.96 (5.74, 6.19)","4.81 (4.60, 5.03)","3.01 (2.84, 3.20)","2.51 (2.35, 2.67)","59.34 (39.63, 81.89)"
"Fairfield County, Connecticut",9001,"1.76 (1.46, 2.12)","2.85 (2.52, 3.24)","10.62 (9.99, 11.30)","15.26 (14.58, 16.01)","5.02 (4.61, 5.44)","4.11 (3.70, 4.53)","2.55 (2.23, 2.90)","1.90 (1.63, 2.18)","7.41 (-16.35, 37.08)"
"Hartford County, Connecticut",9003,"1.50 (1.24, 1.82)","3.07 (2.71, 3.46)","11.22 (10.58, 11.89)","21.66 (20.79, 22.56)","8.39 (7.86, 8.93)","6.47 (5.96, 6.99)","4.26 (3.84, 4.68)","3.79 (3.37, 4.26)","152.13 (100.97, 212.08)"
"Litchfield County, Connecticut",9005,"1.18 (0.90, 1.54)","1.54 (1.27, 1.87)","5.34 (4.71, 6.00)","8.53 (7.65, 9.52)","2.47 (2.11, 2.87)","1.96 (1.61, 2.35)","1.04 (0.81, 1.29)","0.80 (0.61, 1.01)","-32.62 (-52.06, -2.67)"
"Middlesex County, Connecticut",9007,"1.08 (0.81, 1.42)","1.52 (1.26, 1.86)","5.52 (4.79, 6.26)","8.58 (7.69, 9.67)","2.73 (2.32, 3.22)","2.10 (1.73, 2.54)","1.30 (1.00, 1.64)","1.00 (0.76, 1.27)","-7.75 (-34.45, 34.26)"
"New Haven County, Connecticut",9009,"1.88 (1.58, 2.25)","3.67 (3.27, 4.10)","12.52 (11.82, 13.28)","19.74 (18.90, 20.58)","7.44 (6.92, 8.02)","6.40 (5.89, 6.96)","3.85 (3.43, 4.28)","3.22 (2.83, 3.67)","71.01 (37.61, 116.74)"
"New London County, Connecticut",9011,"1.17 (0.90, 1.48)","1.95 (1.63, 2.31)","7.46 (6.74, 8.20)","10.20 (9.36, 11.17)","4.06 (3.57, 4.59)","3.04 (2.64, 3.50)","1.90 (1.58, 2.26)","1.58 (1.28, 1.90)","35.17 (-1.32, 85.20)"
"Tolland County, Connecticut",9013,"0.88 (0.64, 1.18)","1.29 (1.02, 1.59)","4.62 (3.98, 5.33)","7.01 (6.10, 7.99)","2.41 (1.99, 2.87)","1.85 (1.51, 2.26)","1.18 (0.93, 1.48)","1.03 (0.80, 1.32)","17.18 (-15.70, 64.51)"
"Windham County, Connecticut",9015,"0.99 (0.71, 1.34)","1.62 (1.30, 2.01)","6.65 (5.79, 7.56)","10.55 (9.31, 11.87)","3.79 (3.24, 4.40)","3.20 (2.69, 3.81)","1.98 (1.61, 2.46)","1.67 (1.32, 2.06)","68.48 (20.52, 147.64)"
Delaware,10,"1.54 (1.28, 1.81)","2.87 (2.56, 3.20)","11.12 (10.47, 11.79)","19.72 (18.77, 20.60)","8.53 (8.02, 9.09)","7.37 (6.87, 7.95)","5.04 (4.60, 5.49)","4.42 (4.04, 4.83)","187.55 (135.16, 255.63)"
"Kent County, Delaware",10001,"1.43 (1.09, 1.82)","2.47 (2.03, 2.95)","9.20 (8.09, 10.35)","16.05 (14.51, 17.75)","6.28 (5.45, 7.17)","5.51 (4.73, 6.33)","4.13 (3.46, 4.90)","3.46 (2.86, 4.07)","142.32 (78.62, 241.02)"
"New Castle County, Delaware",10003,"1.53 (1.23, 1.85)","3.02 (2.60, 3.49)","11.91 (11.03, 12.87)","21.49 (20.27, 22.66)","9.98 (9.18, 10.79)","8.86 (8.17, 9.70)","6.19 (5.57, 6.87)","5.49 (4.91, 6.11)","258.23 (187.26, 357.83)"
"Sussex County, Delaware",10005,"1.58 (1.22, 2.04)","2.63 (2.19, 3.12)","9.92 (8.75, 11.09)","16.90 (15.27, 18.58)","5.82 (5.12, 6.64)","4.60 (3.98, 5.30)","2.77 (2.32, 3.27)","2.40 (1.98, 2.87)","51.75 (11.50, 113.75)"
District of Columbia,11,"7.23 (6.33, 8.29)","19.60 (18.42, 20.79)","71.66 (69.41, 73.90)","101.08 (98.24, 103.99)","45.85 (44.03, 47.69)","37.31 (35.77, 39.07)","21.52 (20.19, 22.94)","16.59 (15.43, 17.83)","129.46 (96.15, 166.83)"
"District of Columbia, District of Columbia",11001,"7.23 (6.33, 8.29)","19.60 (18.42, 20.79)","71.66 (69.41, 73.90)","101.08 (98.24, 103.99)","45.85 (44.03, 47.69)","37.31 (35.77, 39.07)","21.52 (20.19, 22.94)","16.59 (15.43, 17.83)","129.46 (96.15, 166.83)"
Florida,12,"2.09 (1.94, 2.25)","4.91 (4.77, 5.06)","18.25 (17.99, 18.49)","27.49 (27.17, 27.78)","11.39 (11.22, 11.56)","9.54 (9.40, 9.68)","6.44 (6.31, 6.58)","5.36 (5.24, 5.48)","156.82 (137.89, 177.77)"
"Alachua County, Florida",12001,"1.67 (1.30, 2.08)","2.77 (2.34, 3.27)","12.01 (10.84, 13.22)","17.98 (16.44, 19.49)","7.56 (6.75, 8.42)","6.75 (5.95, 7.59)","5.43 (4.66, 6.17)","4.87 (4.17, 5.58)","192.04 (126.44, 284.87)"
"Baker County, Florida",12003,"1.01 (0.73, 1.36)","1.65 (1.30, 2.07)","7.71 (6.32, 9.12)","13.39 (11.33, 15.59)","4.80 (3.89, 5.88)","4.45 (3.49, 5.51)","3.19 (2.39, 4.15)","2.87 (2.13, 3.83)","184.53 (99.56, 300.46)"
"Bay County, Florida",12005,"1.25 (0.94, 1.63)","2.21 (1.81, 2.66)","10.80 (9.62, 12.16)","16.47 (14.97, 18.07)","7.00 (6.17, 7.92)","5.47 (4.77, 6.25)","3.98 (3.33, 4.67)","4.07 (3.39, 4.79)","224.62 (134.95, 350.31)"
"Bradford County, Florida",12007,"1.35 (0.98, 1.86)","2.65 (2.14, 3.32)","10.85 (9.27, 12.68)","18.84 (16.31, 21.42)","7.07 (5.85, 8.38)","6.13 (4.97, 7.50)","4.45 (3.42, 5.68)","3.73 (2.87, 4.88)","175.95 (89.24, 288.03)"
"Brevard County, Florida",12009,"1.17 (0.93, 1.42)","2.27 (1.98, 2.61)","9.50 (8.78, 10.34)","13.91 (13.06, 14.87)","5.74 (5.20, 6.29)","4.66 (4.18, 5.19)","3.26 (2.85, 3.72)","2.69 (2.33, 3.11)","130.52 (78.37, 202.84)"
"Broward County, Florida",12011,"2.93 (2.53, 3.34)","8.31 (7.69, 8.92)","27.54 (26.73, 28.43)","39.76 (38.81, 40.74)","17.11 (16.44, 17.77)","15.16 (14.54, 15.83)","10.84 (10.27, 11.47)","8.49 (7.97, 9.02)","190.07 (150.13, 237.02)"
"Calhoun County, Florida",12013,"0.67 (0.43, 0.98)","1.12 (0.79, 1.53)","5.71 (4.42, 7.15)","9.98 (8.04, 12.16)","3.68 (2.66, 4.76)","3.17 (2.24, 4.19)","2.23 (1.47, 3.09)","2.03 (1.31, 2.98)","204.38 (107.77, 351.59)"
"Charlotte County, Florida",12015,"0.99 (0.77, 1.28)","2.15 (1.78, 2.54)","9.32 (8.30, 10.43)","16.37 (14.79, 18.04)","4.60 (3.96, 5.31)","3.49 (2.96, 4.10)","2.12 (1.71, 2.56)","1.89 (1.50, 2.31)","90.79 (36.84, 166.03)"
"Citrus County, Florida",12017,"0.74 (0.55, 0.97)","1.51 (1.22, 1.84)","7.12 (6.18, 8.23)","12.25 (10.90, 13.84)","4.14 (3.52, 4.79)","3.39 (2.80, 4.06)","2.15 (1.71, 2.64)","1.89 (1.47, 2.38)","156.77 (75.70, 273.76)"
"Clay County, Florida",12019,"0.69 (0.50, 0.92)","1.14 (0.91, 1.41)","5.13 (4.46, 5.87)","9.05 (8.10, 10.24)","2.99 (2.54, 3.46)","2.82 (2.34, 3.36)","2.00 (1.62, 2.44)","1.75 (1.37, 2.17)","154.19 (75.60, 263.51)"
"Collier County, Florida",12021,"2.13 (1.71, 2.68)","3.46 (2.97, 4.00)","12.27 (11.15, 13.42)","16.05 (14.74, 17.36)","5.95 (5.31, 6.64)","4.27 (3.76, 4.79)","2.94 (2.53, 3.39)","2.14 (1.82, 2.51)","0.38 (-24.32, 30.86)"
"Columbia County, Florida",12023,"1.44 (1.07, 1.90)","2.36 (1.91, 2.89)","9.44 (8.14, 10.82)","17.39 (15.33, 19.59)","7.48 (6.39, 8.67)","6.71 (5.61, 7.91)","5.41 (4.42, 6.55)","4.93 (3.93, 5.97)","243.64 (145.21, 380.65)"
"DeSoto County, Florida",12027,"1.87 (1.40, 2.50)","3.06 (2.46, 3.75)","10.83 (9.25, 12.78)","16.62 (14.32, 19.03)","6.62 (5.55, 7.95)","5.40 (4.35, 6.62)","3.79 (2.89, 4.81)","3.23 (2.42, 4.14)","72.18 (24.77, 138.92)"
"Dixie County, Florida",12029,"0.96 (0.59, 1.41)","1.56 (1.13, 2.08)","6.89 (5.54, 8.39)","12.40 (10.21, 14.92)","4.48 (3.48, 5.73)","4.29 (3.25, 5.69)","3.15 (2.28, 4.33)","2.99 (2.07, 4.22)","211.45 (99.12, 382.19)"
"Duval County, Florida",12031,"1.74 (1.40, 2.12)","3.69 (3.23, 4.15)","15.14 (14.30, 16.00)","28.55 (27.42, 29.75)","12.76 (12.05, 13.55)","12.54 (11.71, 13.38)","8.09 (7.38, 8.79)","7.39 (6.81, 8.01)","325.36 (243.02, 436.71)"
"Escambia County, Florida",12033,"1.47 (1.14, 1.85)","3.04 (2.59, 3.52)","13.78 (12.69, 14.96)","22.15 (20.60, 23.70)","9.41 (8.59, 10.31)","8.75 (7.90, 9.65)","6.62 (5.85, 7.46)","5.46 (4.79, 6.24)","271.81 (184.17, 399.66)"
"Flagler County, Florida",12035,"0.96 (0.69, 1.30)","1.86 (1.48, 2.32)","8.01 (6.86, 9.38)","13.09 (11.24, 14.96)","4.70 (3.98, 5.56)","4.44 (3.69, 5.27)","3.28 (2.62, 4.03)","2.77 (2.17, 3.46)","189.58 (102.42, 327.34)"
"Franklin County, Florida",12037,"0.93 (0.57, 1.47)","1.39 (0.91, 2.03)","5.78 (4.46, 7.42)","10.97 (8.55, 13.63)","3.42 (2.42, 4.69)","2.91 (1.94, 4.05)","2.32 (1.42, 3.44)","2.08 (1.23, 3.19)","123.55 (34.32, 256.18)"
"Gadsden County, Florida",12039,"2.01 (1.55, 2.56)","3.82 (3.20, 4.57)","14.87 (13.12, 16.81)","24.98 (22.31, 27.96)","11.01 (9.59, 12.63)","9.88 (8.44, 11.46)","7.90 (6.59, 9.36)","7.71 (6.37, 9.27)","284.05 (191.22, 413.26)"
"Gilchrist County, Florida",12041,"0.91 (0.62, 1.27)","1.53 (1.13, 2.00)","6.58 (5.30, 7.87)","11.03 (9.00, 13.14)","4.10 (3.16, 5.16)","3.64 (2.75, 4.73)","2.65 (1.88, 3.58)","2.46 (1.67, 3.38)","170.19 (80.83, 314.11)"
"Glades County, Florida",12043,"1.88 (1.34, 2.55)","2.87 (2.21, 3.66)","9.45 (7.70, 11.27)","14.38 (12.04, 17.20)","5.60 (4.44, 6.84)","4.73 (3.68, 6.02)","3.30 (2.47, 4.29)","2.85 (2.06, 3.76)","51.34 (9.20, 107.54)"
"Gulf County, Florida",12045,"0.93 (0.59, 1.37)","1.38 (0.98, 1.87)","5.67 (4.55, 7.08)","10.25 (8.35, 12.30)","3.95 (2.99, 5.25)","3.42 (2.48, 4.57)","2.25 (1.54, 3.16)","2.10 (1.38, 2.99)","124.24 (50.69, 258.32)"
"Hamilton County, Florida",12047,"1.55 (1.10, 2.12)","2.60 (1.99, 3.29)","10.73 (8.84, 12.80)","18.47 (15.64, 21.58)","7.79 (6.14, 9.55)","7.16 (5.56, 8.87)","5.22 (3.85, 6.79)","4.87 (3.59, 6.37)","214.86 (112.35, 344.67)"
"Hardee County, Florida",12049,"1.68 (1.19, 2.26)","2.72 (2.17, 3.42)","9.95 (8.39, 11.64)","17.57 (15.17, 20.37)","6.63 (5.43, 8.05)","5.60 (4.51, 6.94)","3.90 (2.96, 5.14)","3.27 (2.38, 4.30)","94.69 (35.24, 180.64)"
"Hendry County, Florida",12051,"3.15 (2.38, 4.12)","4.71 (3.90, 5.62)","14.94 (12.87, 17.15)","22.24 (19.64, 25.14)","8.83 (7.47, 10.32)","7.49 (6.25, 8.97)","5.10 (4.12, 6.20)","4.17 (3.31, 5.21)","32.23 (-4.15, 79.36)"
"Hernando County, Florida",12053,"1.03 (0.76, 1.38)","2.04 (1.65, 2.42)","8.46 (7.40, 9.55)","13.85 (12.32, 15.46)","4.70 (4.07, 5.35)","4.05 (3.40, 4.75)","3.15 (2.59, 3.76)","2.61 (2.07, 3.21)","154.07 (72.40, 262.39)"
"Highlands County, Florida",12055,"1.33 (1.04, 1.71)","2.59 (2.17, 3.10)","10.13 (8.91, 11.53)","16.61 (14.83, 18.66)","7.00 (6.03, 8.05)","5.77 (4.89, 6.74)","4.11 (3.39, 4.96)","3.70 (3.02, 4.55)","177.64 (104.08, 284.14)"
"Hillsborough County, Florida",12057,"1.89 (1.55, 2.29)","3.86 (3.45, 4.28)","16.91 (16.12, 17.69)","26.48 (25.46, 27.48)","10.60 (10.02, 11.18)","9.09 (8.54, 9.73)","6.20 (5.73, 6.71)","5.62 (5.16, 6.11)","197.13 (141.96, 269.36)"
"Holmes County, Florida",12059,"0.64 (0.43, 0.93)","1.09 (0.79, 1.48)","5.75 (4.51, 7.11)","10.75 (8.71, 13.00)","3.62 (2.72, 4.69)","3.26 (2.31, 4.31)","2.23 (1.51, 3.15)","2.10 (1.37, 3.08)","227.29 (106.54, 394.77)"
"Indian River County, Florida",12061,"1.35 (1.02, 1.71)","2.46 (2.04, 2.92)","8.77 (7.73, 9.87)","14.28 (12.78, 15.86)","5.65 (4.86, 6.51)","4.86 (4.12, 5.61)","3.17 (2.61, 3.78)","2.85 (2.28, 3.42)","111.35 (53.15, 199.53)"
"Jackson County, Florida",12063,"1.02 (0.76, 1.38)","1.71 (1.36, 2.12)","7.56 (6.46, 8.81)","13.63 (11.75, 15.72)","4.75 (3.96, 5.58)","4.76 (3.87, 5.80)","3.25 (2.59, 4.08)","3.09 (2.42, 3.88)","202.59 (119.21, 314.02)"
"Jefferson County, Florida",12065,"1.88 (1.34, 2.65)","2.89 (2.25, 3.67)","10.28 (8.54, 12.10)","17.72 (15.13, 20.72)","6.75 (5.59, 8.08)","5.85 (4.64, 7.22)","4.30 (3.27, 5.47)","3.98 (2.92, 5.13)","111.55 (43.17, 206.59)"
"Lafayette County, Florida",12067,"0.70 (0.44, 1.09)","1.28 (0.88, 1.81)","6.15 (4.80, 7.81)","10.62 (8.37, 13.19)","3.94 (2.94, 5.24)","3.82 (2.75, 5.31)","2.88 (1.93, 4.09)","2.52 (1.64, 3.69)","260.85 (134.23, 451.77)"
"Lake County, Florida",12069,"1.19 (0.95, 1.51)","2.28 (1.94, 2.69)","8.74 (7.77, 9.66)","14.98 (13.68, 16.48)","5.47 (4.86, 6.13)","4.83 (4.24, 5.44)","3.43 (2.94, 3.98)","3.29 (2.81, 3.82)","175.66 (112.16, 264.29)"
"Lee County, Florida",12071,"2.29 (1.89, 2.75)","4.24 (3.71, 4.82)","15.11 (14.08, 16.22)","21.92 (20.65, 23.16)","7.81 (7.15, 8.50)","5.98 (5.43, 6.57)","3.69 (3.25, 4.14)","2.89 (2.53, 3.27)","26.46 (1.08, 57.33)"
"Leon County, Florida",12073,"1.42 (1.09, 1.78)","2.72 (2.27, 3.21)","11.29 (10.20, 12.57)","17.33 (15.97, 18.78)","7.50 (6.69, 8.40)","7.16 (6.31, 8.07)","5.46 (4.78, 6.25)","5.07 (4.42, 5.82)","258.01 (173.68, 379.51)"
"Levy County, Florida",12075,"1.11 (0.79, 1.53)","1.73 (1.34, 2.23)","7.20 (6.02, 8.52)","12.23 (10.24, 14.29)","4.42 (3.54, 5.34)","4.11 (3.21, 5.14)","2.90 (2.16, 3.72)","2.57 (1.89, 3.39)","131.46 (67.53, 230.57)"
"Liberty County, Florida",12077,"0.57 (0.37, 0.81)","1.09 (0.79, 1.48)","6.10 (4.91, 7.48)","11.35 (9.19, 13.79)","3.88 (2.98, 5.11)","3.45 (2.50, 4.63)","2.40 (1.67, 3.38)","2.23 (1.48, 3.25)","291.82 (172.20, 482.09)"
"Madison County, Florida",12079,"1.66 (1.17, 2.27)","2.81 (2.23, 3.55)","11.33 (9.52, 13.31)","18.93 (16.27, 22.12)","8.22 (6.76, 9.89)","7.35 (5.87, 8.83)","5.70 (4.44, 7.21)","5.38 (4.09, 6.95)","224.64 (128.03, 360.29)"
"Manatee County, Florida",12081,"1.48 (1.18, 1.84)","3.36 (2.94, 3.90)","12.22 (11.11, 13.42)","19.34 (17.97, 20.85)","6.87 (6.11, 7.63)","6.03 (5.39, 6.74)","3.84 (3.33, 4.37)","3.43 (2.92, 3.96)","132.05 (76.81, 207.80)"
"Marion County, Florida",12083,"1.27 (1.00, 1.63)","2.25 (1.89, 2.64)","9.03 (8.13, 10.07)","18.44 (16.90, 20.05)","5.96 (5.30, 6.68)","5.46 (4.87, 6.08)","3.74 (3.24, 4.31)","3.66 (3.16, 4.22)","187.67 (121.04, 277.65)"
"Martin County, Florida",12085,"1.37 (1.06, 1.74)","2.67 (2.27, 3.18)","10.11 (8.97, 11.31)","14.65 (13.13, 16.24)","5.43 (4.74, 6.21)","4.52 (3.88, 5.26)","2.71 (2.24, 3.24)","2.39 (1.92, 2.87)","74.43 (27.70, 138.04)"
"Miami-Dade County, Florida",12086,"3.49 (3.03, 3.95)","9.27 (8.74, 9.84)","35.74 (34.90, 36.64)","49.25 (48.20, 50.28)","21.60 (20.97, 22.24)","17.69 (17.11, 18.32)","11.65 (11.11, 12.21)","8.62 (8.16, 9.08)","146.93 (114.03, 189.45)"
"Monroe County, Florida",12087,"5.81 (4.62, 7.12)","11.07 (9.63, 12.62)","32.98 (30.33, 35.83)","43.18 (40.12, 46.26)","15.78 (14.17, 17.59)","12.40 (11.03, 13.88)","9.00 (7.79, 10.50)","6.63 (5.62, 7.68)","14.13 (-13.09, 51.31)"
"Nassau County, Florida",12089,"0.77 (0.54, 1.07)","1.39 (1.07, 1.77)","6.66 (5.65, 7.79)","12.21 (10.63, 13.98)","4.18 (3.46, 5.01)","3.46 (2.82, 4.15)","2.31 (1.81, 2.91)","2.11 (1.63, 2.77)","175.34 (87.85, 305.02)"
"Okaloosa County, Florida",12091,"0.82 (0.59, 1.10)","1.20 (0.95, 1.50)","5.37 (4.65, 6.19)","9.00 (7.96, 10.15)","2.84 (2.39, 3.32)","2.53 (2.09, 3.03)","1.61 (1.25, 2.05)","1.47 (1.13, 1.86)","79.00 (24.28, 165.23)"
"Okeechobee County, Florida",12093,"1.79 (1.33, 2.33)","2.87 (2.32, 3.47)","10.64 (9.07, 12.29)","16.56 (14.47, 19.11)","6.61 (5.52, 7.86)","5.84 (4.77, 7.10)","3.87 (3.06, 4.86)","3.19 (2.45, 4.06)","78.73 (31.29, 150.23)"
"Orange County, Florida",12095,"1.73 (1.41, 2.07)","3.93 (3.49, 4.41)","14.78 (13.96, 15.65)","26.03 (25.00, 27.05)","11.83 (11.16, 12.52)","10.14 (9.47, 10.78)","6.72 (6.16, 7.27)","5.21 (4.76, 5.71)","202.12 (145.07, 275.05)"
"Osceola County, Florida",12097,"1.02 (0.78, 1.32)","1.85 (1.53, 2.20)","8.25 (7.32, 9.26)","14.80 (13.51, 16.21)","5.31 (4.64, 6.03)","5.15 (4.51, 5.88)","3.95 (3.38, 4.59)","3.36 (2.87, 3.88)","230.45 (147.64, 344.21)"
"Palm Beach County, Florida",12099,"3.13 (2.70, 3.62)","7.66 (7.05, 8.34)","23.89 (22.99, 24.79)","34.64 (33.57, 35.77)","15.00 (14.27, 15.71)","12.25 (11.65, 12.93)","7.28 (6.74, 7.84)","6.43 (5.94, 6.96)","105.63 (73.65, 143.55)"
"Pasco County, Florida",12101,"1.00 (0.78, 1.26)","2.07 (1.77, 2.43)","9.44 (8.56, 10.33)","15.58 (14.45, 16.75)","4.91 (4.38, 5.53)","4.11 (3.64, 4.62)","2.70 (2.32, 3.11)","2.36 (2.00, 2.76)","135.81 (79.21, 212.55)"
"Pinellas County, Florida",12103,"1.28 (1.06, 1.52)","3.42 (3.08, 3.81)","14.30 (13.57, 15.04)","23.31 (22.43, 24.18)","9.27 (8.69, 9.85)","7.14 (6.61, 7.67)","5.12 (4.67, 5.64)","4.62 (4.19, 5.11)","261.61 (195.62, 346.93)"
"Polk County, Florida",12105,"1.70 (1.39, 2.05)","3.04 (2.64, 3.46)","12.14 (11.32, 13.02)","19.25 (18.17, 20.32)","8.34 (7.68, 9.04)","7.21 (6.58, 7.87)","5.03 (4.49, 5.62)","4.90 (4.34, 5.47)","188.89 (133.25, 266.68)"
"Putnam County, Florida",12107,"1.54 (1.16, 2.02)","2.48 (2.01, 3.02)","10.38 (9.00, 11.89)","17.63 (15.47, 19.91)","6.88 (5.89, 7.95)","6.90 (5.77, 8.11)","4.85 (4.01, 5.86)","4.37 (3.62, 5.28)","183.15 (113.00, 285.35)"
"Saint Johns County, Florida",12109,"1.30 (0.96, 1.74)","2.05 (1.63, 2.48)","8.11 (7.10, 9.19)","13.51 (12.16, 14.97)","4.90 (4.28, 5.57)","4.21 (3.67, 4.89)","2.78 (2.31, 3.27)","2.56 (2.12, 3.05)","97.39 (42.02, 176.72)"
"Saint Lucie County, Florida",12111,"4.58 (3.76, 5.54)","7.43 (6.49, 8.43)","20.02 (18.28, 21.75)","35.65 (33.33, 37.95)","17.01 (15.55, 18.59)","12.72 (11.62, 13.85)","9.38 (8.42, 10.40)","7.83 (6.98, 8.73)","70.93 (35.54, 117.39)"
"Santa Rosa County, Florida",12113,"0.93 (0.62, 1.29)","1.34 (1.01, 1.74)","5.38 (4.58, 6.23)","9.63 (8.48, 10.90)","3.14 (2.61, 3.74)","3.10 (2.59, 3.70)","2.22 (1.78, 2.71)","1.82 (1.43, 2.26)","96.54 (35.94, 195.18)"
"Sarasota County, Florida",12115,"1.33 (1.05, 1.69)","3.03 (2.61, 3.52)","11.98 (11.02, 13.02)","17.14 (15.96, 18.32)","5.48 (4.96, 6.08)","4.07 (3.62, 4.55)","2.79 (2.44, 3.16)","2.19 (1.88, 2.55)","64.49 (24.03, 117.12)"
"Seminole County, Florida",12117,"1.49 (1.16, 1.85)","2.29 (1.92, 2.69)","8.41 (7.69, 9.28)","12.92 (11.89, 13.96)","4.70 (4.15, 5.29)","4.27 (3.80, 4.82)","2.88 (2.48, 3.36)","2.41 (2.05, 2.79)","61.58 (21.99, 115.72)"
"Sumter County, Florida",12119,"1.19 (0.88, 1.59)","2.35 (1.92, 2.90)","9.15 (7.89, 10.57)","14.07 (12.17, 16.01)","5.13 (4.33, 6.03)","4.10 (3.37, 4.88)","2.56 (2.04, 3.18)","2.09 (1.64, 2.60)","75.13 (27.86, 136.09)"
"Suwannee County, Florida",12121,"1.72 (1.23, 2.29)","2.97 (2.39, 3.74)","11.23 (9.44, 13.21)","16.57 (14.19, 18.99)","7.12 (5.88, 8.49)","6.65 (5.46, 8.04)","5.08 (4.06, 6.22)","5.18 (4.05, 6.54)","201.11 (117.41, 318.81)"
"Taylor County, Florida",12123,"1.28 (0.84, 1.90)","1.87 (1.40, 2.43)","7.38 (6.10, 8.83)","12.96 (10.90, 15.36)","5.36 (4.28, 6.66)","5.01 (3.92, 6.42)","4.01 (3.00, 5.25)","3.63 (2.66, 4.93)","182.98 (94.44, 316.03)"
